dimension,finding_id,severity,reviewers_severity,verification,timing,effort,title,files
"api-contract-mobile","raw-eloquent-serialization","medium","low","confirmed","next","L","Raw Eloquent models are returned as `data`, leaking schema columns and PII and making the same entity appear with different shapes per endpoint","backend/app/Http/Controllers/Api/TeacherController.php:96-100; backend/app/Http/Controllers/Api/TeacherController.php:127-143; backend/app/Http/Controllers/Api/StudentController.php:65-66; backend/app/Http/Controllers/Api/StudentController.php:270-274; backend/app/Models/User.php:43-46; backend/app/Models/Student.php:30-35"
"api-contract-mobile","validation-messages-mixed-language","medium","","confirmed","next","S","No lang/ar directory: any rule without a hand-written message falls back to English; no Accept-Language handling","backend/.env.production.example:29-30; backend/app/Http/Controllers/Api/AttendanceController.php:52-56; backend/app/Http/Controllers/Api/CenterController.php:228-231; backend/app/Http/Controllers/Api/TeacherController.php:150-156; backend/app/Http/Controllers/Api/WeeklyTestController.php:37-50"
"api-contract-mobile","no-health-version-endpoints","medium","low","confirmed","next","S","No JSON health check with DB probe, no app-version/force-update or server-time endpoint","backend/bootstrap/app.php:12; backend/routes/web.php:5-10; backend/routes/api.php:22-23"
"api-contract-mobile","write-idempotency-missing","medium","low","confirmed","next","M","Create endpoints other than attendance have no idempotency key or natural uniqueness, so mobile retries duplicate records","backend/app/Http/Controllers/Api/MemorizationController.php:175-187; backend/app/Http/Controllers/Api/MessageController.php:257-262; backend/app/Http/Controllers/Api/StudentRequestController.php:88-96; backend/app/Http/Controllers/Api/WeeklyTestController.php:61-65; backend/app/Http/Controllers/Api/AttendanceController.php:73-116"
"api-contract-mobile","pdf-requires-bearer-no-signed-url","low","","informational","later","M","PDF reports are bearer-only inline responses with no signed/temporary URL alternative and no JSON fallback on failure","backend/app/Http/Controllers/Api/ReportPdfController.php:159-195; backend/app/Http/Controllers/Api/ReportPdfController.php:203-206; backend/routes/api.php:80-82; backend/routes/api.php:125-128; backend/routes/api.php:170-171; frontend-html/js/ui.js:350-375"
"backend-architecture","fat-controllers-no-domain-layer","high","medium","confirmed","next","L","Business logic lives in 4,934-LOC controllers; only one service class exists","C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentController.php:162-272; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\AttendanceImportController.php:17-399; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:224-348; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterManagerController.php:109-165; C:\Users\HP\SRS\MUTQIN\backend\app\Services\ReportService.php:1"
"backend-architecture","no-typed-api-contract-resources","high","medium","confirmed","now","L","No API Resources/FormRequests: responses are raw Eloquent dumps mixed with ad-hoc arrays, envelope violated in 3 places","C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentController.php:139-142; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\TeacherController.php:96-100; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\DashboardController.php:44-52; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\AttendanceImportController.php:385-398; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\ReportPdfController.php:84; C:\Users\HP\SRS\MUTQIN\backend\app\Models\User.php:43-46"
"backend-architecture","empty-exception-handler-leaks-and-breaks-envelope","high","low","confirmed","now","S","No global exception renderer: 404/500/401 fall through to Laravel defaults (English, leaks model class names, no `success` key)","C:\Users\HP\SRS\MUTQIN\backend\bootstrap\app.php:22-24; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentController.php:343; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\AttendanceImportController.php:36-42"
"backend-architecture","laravel-11-eol-dependency-line","high","medium","confirmed","next","M","Laravel 11.x (v11.51.0 locked) is past end of security support; PHP pinned to 8.2","C:\Users\HP\SRS\MUTQIN\backend\composer.json:8-9; C:\Users\HP\SRS\MUTQIN\backend\composer.lock:9433-9435; C:\Users\HP\SRS\MUTQIN\backend\DEPLOY_LOG.md:3"
"backend-architecture","authorization-copy-pasted-no-policies","high","medium","confirmed","next","M","Ownership/scope authorization hand-rolled at 20 call sites with three different 403 shapes; no Policies","C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentController.php:345; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentController.php:374-381; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\MemorizationController.php:168; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\WeeklyTestController.php:54; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterManagerController.php:298; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:199-215; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\MessageController.php:26-49"
"backend-architecture","magic-strings-no-enums","medium","low","confirmed","next","M","Roles, teacher type, attendance status, test result, request status are bare strings (Arabic literals included) with zero enums","C:\Users\HP\SRS\MUTQIN\backend\app\Support\PrimaryTeacherRule.php:20-25; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterManagerController.php:123; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\TeacherController.php:66; C:\Users\HP\SRS\MUTQIN\backend\app\Services\ReportService.php:55-56; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\AdminUserController.php:243; C:\Users\HP\SRS\MUTQIN\backend\app\Support\PhoneNumber.php:20-23"
"backend-architecture","unlocked-check-then-write-races","medium","low","confirmed","now","S","Check-then-write invariants are not locked or idempotent: double approve creates duplicate students, two admins can create two primaries","C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:232-237; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:274-295; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:152-161; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\TeacherController.php:79-82; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterManagerController.php:135-144; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\ManagerManagementController.php:79"
"backend-architecture","no-async-boundary-heavy-work-in-request","medium","low","confirmed","next","L","No jobs/queues/events: xlsx import and mPDF rendering run synchronously in the request; production is QUEUE_CONNECTION=sync on shared cPanel","C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\AttendanceImportController.php:164; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\AttendanceImportController.php:341-378; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\ReportPdfController.php:37-60; C:\Users\HP\SRS\MUTQIN\backend\.env.production.example:62; C:\Users\HP\SRS\MUTQIN\backend\DEPLOY_LOG.md:6-9"
"backend-architecture","report-service-n-plus-one","medium","low","confirmed","next","M","Half of ReportService (and ReportController::weekly) is N+1 and loads whole months of rows into PHP memory","C:\Users\HP\SRS\MUTQIN\backend\app\Services\ReportService.php:79-115; C:\Users\HP\SRS\MUTQIN\backend\app\Services\ReportService.php:133-170; C:\Users\HP\SRS\MUTQIN\backend\app\Services\ReportService.php:176-204; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\ReportController.php:97-111"
"backend-architecture","parallel-write-paths-bypass-audit","medium","low","confirmed","next","S","Alternate update routes bypass the audited status/identity paths (center is_active via PUT, teacher center_id & email via PUT)","C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterController.php:42; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterController.php:233; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterController.php:249-280; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\TeacherController.php:150-167; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterManagerController.php:399-427"
"backend-architecture","no-i18n-layer-validation-falls-back-to-english-or-raw-keys","medium","","confirmed","now","S","No lang/ directory: rules without custom messages return English locally and the literal key (e.g. 'validation.email') in production where APP_LOCALE=ar","C:\Users\HP\SRS\MUTQIN\backend\.env.production.example:29-30; C:\Users\HP\SRS\MUTQIN\backend\config\app.php:83-85; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\TeacherController.php:150-156; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterController.php:228-231; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:239; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\ManagerManagementController.php:127"
"backend-architecture","notification-links-couple-api-to-web-pages","medium","low","confirmed","now","S","Notification payloads embed web-page paths ('manager/requests.html?...') instead of typed references","C:\Users\HP\SRS\MUTQIN\backend\app\Notifications\InAppNotification.php:166-175; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:184; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentRequestController.php:418-421; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\MessageController.php:188; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\MemorizationController.php:198; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\WeeklyTestController.php:100"
"backend-architecture","no-api-versioning-no-route-binding","medium","low","confirmed","now","S","Unversioned, unnamed routes with manual findOrFail and inconsistent parameter naming","C:\Users\HP\SRS\MUTQIN\backend\routes\api.php:26; C:\Users\HP\SRS\MUTQIN\backend\routes\api.php:47-49; C:\Users\HP\SRS\MUTQIN\backend\routes\api.php:65-66; C:\Users\HP\SRS\MUTQIN\backend\routes\api.php:141-144"
"backend-architecture","no-quality-gates-pint-phpstan-ci","medium","","confirmed","now","S","No CI, no Pint config, no static analysis, stock README/.env.example; deployment is manual rsync via .cpanel.yml","C:\Users\HP\SRS\MUTQIN\backend\composer.json:16-24; C:\Users\HP\SRS\MUTQIN\.cpanel.yml:1-8; C:\Users\HP\SRS\MUTQIN\backend\README.md:1; C:\Users\HP\SRS\MUTQIN\backend\.env.example:1-2"
"backend-architecture","dead-code-and-stray-artifacts","low","","informational","later","S","Dead scaffolding and unused models: Vite/Tailwind assets, test-xlsx scripts in backend root, Revision/TajweedEvaluation, boilerplate tests, misplaced docblocks","C:\Users\HP\SRS\MUTQIN\backend\check_excel.php:1; C:\Users\HP\SRS\MUTQIN\backend\generate_test_excel.php:1; C:\Users\HP\SRS\MUTQIN\backend\attendance_test.xlsx; C:\Users\HP\SRS\MUTQIN\backend\package.json:1; C:\Users\HP\SRS\MUTQIN\backend\vite.config.js:1; C:\Users\HP\SRS\MUTQIN\backend\resources\js\app.js:1; C:\Users\HP\SRS\MUTQIN\backend\app\Models\Revision.php:1; C:\Users\HP\SRS\MUTQIN\backend\app\Models\TajweedEvaluation.php:1; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\StudentController.php:274-283; C:\Users\HP\SRS\MUTQIN\backend\app\Http\Controllers\Api\CenterManagerController.php:197-206"
"database-schema","missing-hot-path-indexes","high","medium","confirmed","now","S","No non-FK indexes on the columns every dashboard, review screen and report filters/sorts on","backend/database/migrations/2024_01_01_000030_create_attendances_table.php:13-22; backend/database/migrations/2024_01_01_000040_create_memorizations_table.php:13-29; backend/database/migrations/2024_01_01_000070_create_weekly_tests_table.php:11-27; backend/database/migrations/0001_01_01_000000_create_users_table.php:14-24; backend/app/Http/Controllers/Api/DashboardController.php:25-30; backend/app/Http/Controllers/Api/CenterManagerController.php:507; backend/app/Http/Controllers/Api/AuthController.php:132; backend/app/Services/ReportService.php:39-53"
"database-schema","invariants-app-only","high","medium","confirmed","next","M","Every business invariant is enforced only in PHP; the database accepts violating rows","backend/app/Support/PrimaryTeacherRule.php:18-35; backend/app/Http/Controllers/Api/ManagerManagementController.php:24-37; backend/app/Support/ParentResolver.php:50; backend/database/migrations/2024_01_01_000020_create_students_table.php:18-19; backend/database/migrations/2026_06_20_100000_change_users_role_to_string.php:15-17; DEPLOYMENT.md:43"
"database-schema","tenant-key-inconsistent","high","","refuted","next","M","center_id is missing from most tenant-owned record tables and has two different meanings on attendances","backend/database/migrations/2024_01_01_000040_create_memorizations_table.php; backend/database/migrations/2024_01_01_000070_create_weekly_tests_table.php; backend/database/migrations/2026_08_22_100000_create_messages_table.php; backend/database/migrations/2026_06_19_163400_add_excel_fields_to_attendances_table.php:14; backend/app/Http/Controllers/Api/CenterManagerController.php:505-506; backend/app/Http/Controllers/Api/CenterManagerController.php:572-574; backend/app/Http/Controllers/Api/AttendanceImportController.php:307-349"
"database-schema","request-national-id-width-mismatch","medium","low","confirmed","now","S","student_requests.national_id is VARCHAR(12) while students.national_id was widened to VARCHAR(32) — foreign-student transfers can 500","backend/database/migrations/2026_06_28_100000_create_student_requests_table.php:37; backend/database/migrations/2026_06_28_120000_add_nationality_to_students_and_users.php:23; backend/app/Http/Controllers/Api/StudentRequestController.php:168; backend/app/Http/Controllers/Api/StudentController.php:38-40; backend/config/database.php:60"
"database-schema","cascade-deletes-contradict-no-delete-policy","medium","low","confirmed","next","S","Cascade deletes remain on history and audit tables even though the product policy is 'never hard-delete'","backend/database/migrations/2024_01_01_000030_create_attendances_table.php:13; backend/database/migrations/2024_01_01_000040_create_memorizations_table.php:13; backend/database/migrations/2026_06_28_150000_add_password_tracking.php:24; backend/database/migrations/2026_08_22_100000_create_messages_table.php:18-19; backend/database/migrations/2026_06_28_100000_create_student_requests_table.php:29; backend/database/migrations/2024_01_01_000050_create_revisions_table.php:14; backend/database/migrations/2024_01_01_000060_create_tajweed_evaluations_table.php:14"
"database-schema","no-audit-log-table","medium","low","confirmed","next","M","Audit is ad-hoc who/when columns without before-values; no generic audit trail for minors' data","backend/database/migrations/2026_07_18_120000_add_correction_audit_to_attendances.php:8-12; backend/database/migrations/2026_07_23_100000_add_is_active_to_users.php:19-21; backend/database/migrations/2026_08_10_100000_add_status_audit_to_students.php:17-19; backend/database/migrations/2026_06_28_150000_add_password_tracking.php:22-29; DEPLOYMENT.md:41"
"database-schema","backup-restore-story","medium","low","confirmed","next","M","Backup/restore is a single manual mysqldump suggestion; no retention, restore drill, or PITR","DEPLOYMENT.md:15; .cpanel.yml:1-7; backend/routes/console.php"
"database-schema","derived-state-and-volume-assumptions","medium","low","confirmed","next","M","Progress and reports are computed from raw rows in PHP; several endpoints load unbounded result sets","backend/app/Http/Controllers/Api/MemorizationController.php:91-94; backend/app/Services/ReportService.php:38-56; backend/app/Services/ReportService.php:135-146; backend/app/Services/ReportService.php:213-219; backend/database/migrations/2024_01_01_000040_create_memorizations_table.php:18-19"
"database-schema","teacher-center-move-orphans-students","medium","low","confirmed","next","S","Moving a teacher to another center leaves their students assigned to a teacher outside the students' center","backend/app/Http/Controllers/Api/TeacherController.php:150-176; backend/app/Http/Controllers/Api/StudentController.php:203; backend/database/migrations/2024_01_01_000020_create_students_table.php:18-19"
"database-schema","arabic-strings-as-enum-codes","low","","informational","later","M","Arabic display strings are used as stored enum codes and compared in SQL/PHP","backend/database/migrations/2026_05_11_100154_update_tables_for_mutqen_v2.php:13; backend/database/migrations/2026_05_11_100154_update_tables_for_mutqen_v2.php:23; backend/database/migrations/2026_06_19_074100_create_weekly_test_questions_table.php:19; backend/app/Support/PrimaryTeacherRule.php:20; backend/app/Http/Controllers/Api/CenterController.php:120"
"database-schema","schema-cruft-birthdate-age-juz","low","","informational","later","M","Historical cruft: dead birth_date with a static age, untrusted memorizations.juz/hizb/eighth, VARCHAR time and phones","backend/database/migrations/2024_01_01_000020_create_students_table.php:14; backend/database/migrations/2026_05_11_100154_update_tables_for_mutqen_v2.php:17; backend/app/Models/Student.php:12,31; backend/database/migrations/2024_01_01_000040_create_memorizations_table.php:19-23; backend/database/migrations/2026_06_19_163400_add_excel_fields_to_attendances_table.php:12"
"database-schema","token-table-unbounded-growth","low","","informational","next","S","personal_access_tokens grows unbounded: every login inserts a token and nothing prunes expired ones","backend/app/Http/Controllers/Api/AuthController.php:64; backend/config/sanctum.php:55; backend/routes/console.php"
"database-schema","mysql-only-constructs","low","","informational","later","S","MySQL-specific SQL in migrations and code prevents SQLite-backed fast tests and pins the engine","backend/database/migrations/2026_06_28_120000_add_nationality_to_students_and_users.php:23,38; backend/app/Support/DisplayCode.php:56,64; backend/app/Http/Controllers/Api/CenterController.php:99-120; backend/database/seeders/LibyanDataSeeder.php:419"
"database-schema","seeder-guardrails-and-doc-drift","low","","informational","later","S","ExtraDataSeeder has no environment guard or transaction and CLAUDE.md still advertises it with stale credentials","backend/database/seeders/ExtraDataSeeder.php:21-143; backend/database/seeders/DatabaseSeeder.php:13-19; backend/database/seeders/LibyanDataSeeder.php:40-43,108-112; CLAUDE.md:24,32,98"
"database-schema","reference-data-not-normalized","low","","informational","later","M","Surah reference lives in a PHP constant and athman in an xlsx; memorizations.surah_name is free text with no FK","backend/app/Support/SurahReference.php:19-40; backend/database/seeders/AthmanSeeder.php:17-25; backend/database/data/فهرس_الأثمان_الكامل.xlsx; backend/app/Http/Controllers/Api/MemorizationController.php:129"
"domain-rules","primary-teacher-rule-triplicated-and-racy","high","low","confirmed","next","M","One-primary-per-center is implemented three ways, locked in only one path, with no DB constraint","backend/app/Support/PrimaryTeacherRule.php:84-101; backend/app/Http/Controllers/Api/TeacherController.php:79; backend/app/Http/Controllers/Api/TeacherController.php:159; backend/app/Http/Controllers/Api/CenterManagerController.php:135-144; backend/app/Http/Controllers/Api/CenterManagerController.php:412; backend/app/Http/Controllers/Api/TeacherController.php:237-242; backend/app/Http/Controllers/Api/CenterManagerController.php:70-71"
"domain-rules","singleton-rules-inconsistent-and-reactivation-bypass","high","medium","confirmed","next","S","One-manager-per-center and one-primary-per-center use different active semantics; reactivation bypasses both","backend/app/Http/Controllers/Api/ManagerManagementController.php:24-37; backend/app/Http/Controllers/Api/ManagerManagementController.php:152-181; backend/app/Support/PrimaryTeacherRule.php:90-94; backend/app/Http/Controllers/Api/TeacherController.php:193-222; backend/app/Http/Controllers/Api/CenterManagerController.php:466-472; backend/app/Http/Controllers/Api/StudentRequestController.php:29-38"
"domain-rules","transfer-approve-unlocked-underrevalidated-no-cancel","high","medium","confirmed","next","M","Transfer approval is not serialized, re-validates too little, has no cancel state and no decision audit","backend/app/Http/Controllers/Api/StudentRequestController.php:224-256; backend/app/Http/Controllers/Api/StudentRequestController.php:313-330; backend/app/Http/Controllers/Api/StudentRequestController.php:136-149; backend/database/migrations/2026_06_28_100000_create_student_requests_table.php:26; backend/database/migrations/2026_06_28_100000_create_student_requests_table.php:49"
"domain-rules","message-thread-keyed-by-student-leaks-across-teacher-change","high","medium","confirmed","now","M","Messaging threads are keyed by student only, so a new teacher inherits (and 'owns') the previous teacher's conversation with the parent","backend/app/Http/Controllers/Api/MessageController.php:26-49; backend/app/Http/Controllers/Api/MessageController.php:115-130; backend/app/Models/Message.php:13-19; backend/database/migrations/2026_08_22_100000_create_messages_table.php:16-27; backend/app/Http/Controllers/Api/StudentController.php:611-683; backend/app/Http/Controllers/Api/StudentRequestController.php:322-330"
"domain-rules","center-update-bypasses-deactivation-cascade","medium","low","confirmed","now","S","PUT /centers/{id} accepts is_active from the client and skips the token-revocation cascade; centers have no status audit","backend/app/Http/Controllers/Api/CenterController.php:233; backend/app/Http/Controllers/Api/CenterController.php:42; backend/app/Http/Controllers/Api/CenterController.php:249-280; backend/app/Models/Center.php:9-16"
"domain-rules","phone-normalization-inconsistent-and-unvalidated","medium","low","confirmed","now","S","Phone numbers are normalized on some writes but not others, and PhoneNumber never validates the Libyan shape","backend/app/Http/Controllers/Api/StudentController.php:523; backend/app/Http/Controllers/Api/StudentController.php:550-553; backend/app/Http/Controllers/Api/StudentRequestController.php:282; backend/app/Support/PhoneNumber.php:123-148; backend/app/Http/Controllers/Api/TeacherProfileController.php:49-56"
"domain-rules","attendance-rate-formula-divergence","medium","low","confirmed","now","S","The 'attendance percentage' has two different definitions (API vs n8n digest) and the role of 'late' is implicit","backend/app/Services/ReportService.php:42-67; backend/app/Services/ReportService.php:233-239; backend/app/Http/Controllers/Api/StudentController.php:420; backend/app/Http/Controllers/Api/StudentController.php:721; n8n/attendance-digest.code.js:16-17"
"domain-rules","attendance-source-precedence-undefined","medium","","confirmed","next","M","Fingerprint import silently overwrites manual and manager-corrected attendance; manual changes have no audit; no late/schedule rule","backend/app/Http/Controllers/Api/AttendanceImportController.php:300-313; backend/app/Http/Controllers/Api/AttendanceImportController.php:341-378; backend/app/Http/Controllers/Api/AttendanceController.php:61-69; backend/app/Http/Controllers/Api/AttendanceController.php:102-116; backend/app/Http/Controllers/Api/CenterManagerController.php:580"
"domain-rules","no-enums-value-objects-or-request-objects","medium","low","confirmed","next","L","Domain vocabulary is string literals (incl. Arabic literals in DB enums); zero PHP enums, FormRequests or Policies","backend/app/Http/Controllers/Api/TeacherController.php:66; backend/app/Http/Controllers/Api/WeeklyTestController.php:42; backend/app/Http/Controllers/Api/WeeklyTestController.php:68; backend/app/Http/Controllers/Api/MemorizationController.php:138; backend/database/migrations/2026_05_11_100154_update_tables_for_mutqen_v2.php:23; backend/app/Models/User.php:188-209"
"domain-rules","student-age-static-birthdate-dead","medium","low","confirmed","next","M","students.age is a static integer that never advances; birth_date exists but is unused","backend/app/Models/Student.php:12-17; backend/app/Models/Student.php:102; backend/app/Http/Controllers/Api/StudentController.php:205; backend/app/Http/Controllers/Api/MemorizationController.php:85-86; backend/app/Services/ReportService.php:483"
"domain-rules","teacher-move-and-email-edit-break-invariants","medium","","confirmed","next","M","Teacher center change orphans students; update paths accept client email; admin teacher deactivation ignores primary and students","backend/app/Http/Controllers/Api/TeacherController.php:150-174; backend/app/Http/Controllers/Api/TeacherController.php:152; backend/app/Http/Controllers/Api/CenterManagerController.php:401; backend/app/Http/Controllers/Api/CenterManagerController.php:416; backend/app/Http/Controllers/Api/StudentController.php:203; backend/app/Support/LoginEmail.php:157-163"
"domain-rules","memorization-hard-delete-no-update-weak-guards","medium","low","confirmed","next","M","Memorization is the one record still hard-deleted, has no update, no audit, and unvalidated hizb/eighth/future date/inactive student","backend/app/Http/Controllers/Api/MemorizationController.php:208-227; backend/app/Http/Controllers/Api/MemorizationController.php:128-138; backend/app/Http/Controllers/Api/MemorizationController.php:175-187; backend/routes/api.php:160-164"
"domain-rules","weekly-test-thumn-free-text-athman-incomplete","medium","low","confirmed","later","M","Weekly-test questions store the thumn as free text, not an athman reference; athman index has 477 of 480 rows","backend/app/Http/Controllers/Api/WeeklyTestController.php:41; backend/database/migrations/2026_06_19_074100_create_weekly_test_questions_table.php:18; backend/database/seeders/AthmanSeeder.php:12; frontend-html/teacher/weekly-tests.html:75-91"
"domain-rules","legacy-add-approval-dead-end","low","","informational","later","S","Legacy 'add' requests with a new guardian can no longer be approved (ParentResolver now requires a password)","backend/app/Http/Controllers/Api/StudentRequestController.php:257-295; backend/app/Http/Controllers/Api/StudentRequestController.php:394-409; backend/app/Support/ParentResolver.php:72-77; backend/app/Http/Controllers/Api/StudentRequestController.php:239"
"domain-rules","juz-completeness-starting-surah-semantics","low","","informational","later","S","Juz completeness counts only surahs that *start* in the juz; portions extending in from the previous surah are ignored","backend/app/Support/SurahReference.php:114-145; backend/app/Support/SurahReference.php:243-256; backend/app/Http/Controllers/Api/MemorizationController.php:30-32"
